商品名,製品重量 g/個,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,ナトリウム mg,カリウム mg,カルシウム mg,リン mg,鉄 mg,ビタミンA μg,ビタミンB1 mg,ビタミンB2 mg,ナイアシン mg,ビタミンC mg,コレステロール mg,食物繊維 mg,食塩相当量 g,備考
えびフィレオ®,173,383,12.2,16.8,46.2,884,113,62,99,0.7,8,0.08,0.05,1.1,1,66,2.9,2.2,
ごはんチキンタツタ,201,397,15.3,13.7,53.7,990,268,18,204,0.6,8,0.10,0.09,7.0,4,40,1.6,2.5,
ごはんチキンタツタ ゆず香るおろし,226,419,15.8,14.6,56.2,1256,288,20,206,0.6,5,0.10,0.08,7.0,4,35,1.8,3.2,
てりやきチキンフィレオ,194,497,20.4,22.6,53.0,1227,343,39,319,0.9,9,0.15,0.11,8.3,1,48,2.7,3.1,
てりやきマックバーガー,157,489,15.4,30.8,37.4,825,230,43,150,1.0,19,0.18,0.17,5.5,5,52,2.0,2.1,
ゆず香る おろしチキンタツタ,190,401,18.7,17.5,42.5,1152,344,52,217,0.9,6,0.15,0.14,7.6,8,35,2.9,2.9,
エグチ(エッグチーズバーガー),169,387,22.3,18.9,31.0,813,297,146,274,2.1,131,0.13,0.36,2.6,1,248,1.5,2.1,
エッグマックマフィン®,139,311,19.2,13.5,27.1,649,183,171,211,1.3,118,0.13,0.31,1.2,0,231,1.7,1.6,
ストロベリージャム,14,38,0.0,0.0,9.5,4,7,1,1,0.0,0,0.00,0.00,0.0,0,0,0.2,0.0,
スパチキ(スパイシーチキンバーガー),138,390,14.4,19.8,38.5,1021,262,35,226,0.7,22,0.11,0.09,5.2,1,38,2.1,2.6,
スパビー(スパイシービーフバーガー),114,329,12.8,18.4,28.3,666,184,29,109,1.1,22,0.10,0.10,2.3,1,32,1.4,1.7,
ソーセージエッグマフィン,164,474,21.5,30.5,27.3,754,233,187,273,1.7,128,0.23,0.41,3.4,3,253,2.0,1.9,
ソーセージマフィン,114,394,15.1,25.0,27.1,688,168,161,183,0.8,58,0.20,0.21,3.3,3,43,2.0,1.7,
ダブルチーズバーガー,169,457,26.5,25.0,31.4,1132,358,216,318,2.0,118,0.13,0.28,4.1,1,76,1.7,2.9,
チーズチーズてりやきマックバーガー,186,590,21.3,38.9,38.6,1241,269,222,296,1.0,116,0.19,0.29,5.5,5,76,2.0,3.1,
チーズバーガー,118,307,15.8,13.4,30.8,747,232,121,184,1.2,61,0.10,0.16,2.5,1,38,1.5,1.9,
チキチー(チキンチーズバーガー),152,430,17.3,22.3,39.9,1071,277,125,300,0.7,62,0.11,0.15,5.2,1,48,2.1,2.7,
チキンクリスプ,128,344,14.0,15.3,37.8,847,246,31,222,0.7,13,0.12,0.09,5.3,0,35,1.9,2.2,
チキンクリスプマフィン,134,363,15.1,17.1,37.1,811,258,62,225,0.7,13,0.15,0.10,5.6,0,35,2.5,2.1,
チキンタツタ®,165,380,18.2,16.5,39.9,885,324,50,215,0.8,9,0.14,0.15,7.5,8,40,2.7,2.2,
チキンフィレオ®,183,467,20.2,21.6,47.9,1129,343,40,318,0.8,11,0.15,0.11,8.3,1,49,2.7,2.9,
ハンバーガー,104,256,12.8,9.4,30.3,542,214,30,109,1.2,14,0.10,0.09,2.5,1,26,1.5,1.4,
バターパット,8,60,0.0,6.7,0.0,36,0,1,2,0.0,99,0.00,0.00,0.0,0,18,0.0,0.1,
ビッグブレックファスト デラックス(ハッシュポテト含む),395,980,34.6,51.9,93.4,1475,701,519,640,6.1,193,0.33,1.10,5.8,3,475,6.6,3.7,1
ビッグブレックファスト(ハッシュポテト含む),252,658,26.2,42.6,40.1,927,474,127,335,2.9,150,0.30,0.55,4.3,3,455,3.6,2.3,2
ビッグマック®,217,525,26.0,28.3,41.8,1007,372,143,275,2.2,74,0.17,0.24,4.4,2,69,2.6,2.6,
フィレオフィッシュ®,141,336,14.6,14.1,38.0,659,196,77,198,0.5,28,0.12,0.09,1.4,0,38,2.1,1.7,
ベーコンエッグマックサンド,129,299,16.4,13.0,28.1,642,152,139,250,1.3,117,0.15,0.31,1.4,6,228,1.2,1.6,
ベーコンレタスバーガー,136,374,18.2,20.4,29.2,830,231,123,227,1.3,61,0.14,0.17,2.9,7,47,1.6,2.1,
ホットケーキ,143,322,8.3,9.3,53.3,547,227,392,305,3.2,43,0.03,0.56,1.5,0,20,3.1,1.4,3
ホットケーキシロップ,41,121,0.0,0.0,30.2,1,0,0,1,0.0,0,0.00,0.00,0.0,0,0,0.0,0.0,
マックグリドル® ソーセージ,136,414,10.6,23.4,40.4,944,162,84,241,2.4,10,0.17,0.36,3.1,3,32,1.7,2.4,
マックグリドル® ソーセージエッグ,201,545,20.0,32.9,41.1,1216,245,201,406,3.3,127,0.21,0.63,3.2,3,254,1.7,3.1,
マックグリドル® ベーコンエッグ,167,386,16.0,17.1,40.9,1064,177,184,385,2.9,117,0.17,0.55,1.6,6,229,1.5,2.7,
メガマフィン,226,690,30.0,49.2,30.9,1278,412,207,382,2.3,142,0.39,0.53,6.4,12,290,2.6,3.2,
塩・コショウ,1,1,0.0,0.0,0.1,254,2,1,0,0.0,0,0.00,0.00,0.0,0,0,0.0,0.6,
倍えびフィレオ,253,542,19.0,24.9,61.3,1273,132,95,140,0.9,8,0.10,0.07,1.5,1,126,3.9,3.2,
倍てりやきチキンフィレオ,308,767,35.5,35.4,76.6,2093,610,50,587,1.4,13,0.25,0.20,16.0,2,92,3.9,5.3,
倍てりやきマックバーガー,235,751,25.6,52.0,45.4,1289,385,57,249,1.5,34,0.31,0.30,10.2,9,99,2.6,3.3,
倍エグチ(倍エッグチーズバーガー),203,486,30.0,26.5,31.0,965,405,149,332,2.8,141,0.16,0.42,4.1,1,274,1.6,2.4,
倍スパチキ(倍スパイシーチキンバーガー),196,543,23.4,28.4,48.5,1526,445,42,400,1.1,32,0.15,0.14,9.7,1,69,2.8,3.9,
倍スパビー(倍スパイシービーフバーガー),148,428,20.5,25.9,28.3,818,292,32,167,1.9,31,0.12,0.15,3.9,1,58,1.5,2.1,
倍ダブルチーズバーガー,237,655,42.0,40.1,31.4,1435,574,223,435,3.5,137,0.18,0.39,7.2,1,127,1.8,3.6,
倍チーズバーガー,152,406,23.5,21.0,30.8,898,340,124,242,1.9,71,0.13,0.22,4.1,1,64,1.6,2.3,
倍チキチー(倍チキンチーズバーガー),210,582,26.2,30.9,49.8,1576,460,132,473,1.1,71,0.16,0.20,9.7,1,80,2.8,4.0,
倍チキンクリスプ,186,497,23.0,23.9,47.7,1352,429,37,395,1.0,23,0.17,0.14,9.8,0,67,2.5,3.4,
倍チキンフィレオ,277,710,35.0,34.4,65.1,1768,593,49,581,1.3,15,0.25,0.19,15.9,1,92,3.8,4.5,
倍ハンバーガー,138,356,20.6,16.9,30.3,693,322,33,167,1.9,23,0.12,0.15,4.0,1,52,1.6,1.8,
倍ビッグマック,285,724,41.4,43.4,41.8,1310,588,149,392,3.8,93,0.22,0.35,7.5,2,121,2.7,3.3,
倍フィレオフィッシュ,199,447,22.7,18.9,47.4,827,333,82,310,0.6,30,0.17,0.12,2.1,0,64,2.9,2.1,
倍ベーコンレタスバーガー,170,473,25.9,28.0,29.2,982,339,127,285,2.0,71,0.17,0.23,4.5,7,73,1.7,2.5,
炙り醤油風 ダブル肉厚ビーフ,223,625,39.0,36.2,36.3,1428,523,232,422,3.2,124,0.19,0.37,6.4,0,113,1.8,3.6,
炙り醤油風 ベーコントマト肉厚ビーフ,215,465,27.2,23.0,37.9,1319,470,139,337,2.2,81,0.28,0.25,5.2,17,68,2.4,3.3,
チーズチーズダブルチーズバーガー,197,558,32.4,33.1,32.7,1554,401,394,461,2.0,217,0.14,0.41,4.1,1,99,1.7,3.9,
いちご大福パイ ,70,229,3.2,10.0,31.3,180,52,9,30,0.3,1,0.03,0.00,0.3,1,1,1.7,0.5,
えだまめコーン,80,83,5.2,3.0,9.6,84,206,27,80,1.1,7,0.10,0.06,1.0,8,0,2.9,0.2,
りんご&クリーム,8,31,0.2,1.5,4.3,2,7,4,4,0.0,1,0.00,0.01,0.0,5,0,0.0,0.0,
ケチャップ,20,23,0.4,0.0,5.6,210,103,4,8,0.1,9,0.02,0.01,0.3,19,0,0.4,0.5,
サイドサラダ,65,10,0.5,0.1,2.3,1,137,13,16,0.2,27,0.03,0.02,0.2,15,0,0.8,0.0,1
シャカシャカポテト® じゃがバタ(L),173,526,7.0,26.2,65.5,649,1142,26,254,1.3,2,0.31,0.05,6.3,20,12,6.1,1.6,
シャカシャカポテト® じゃがバタ(M),138,420,5.7,20.9,52.3,563,910,21,203,1.1,2,0.24,0.04,5.0,16,9,4.8,1.4,
シャカシャカポテト® じゃがバタ(S),77,234,3.3,11.6,29.3,414,504,13,114,0.6,2,0.13,0.03,2.8,9,5,2.7,1.1,
シャカシャカポテト® じゃがバタシーズニング,3,10,0.4,0.3,1.3,234,12,3,6,0.1,2,0.00,0.01,0.1,0,0,0.1,0.6,
シャカチキ チェダーチーズ,96,251,15.1,13.0,18.5,797,255,27,277,0.4,6,0.10,0.09,7.6,0,44,1.1,2.0,
シャカチキ チェダーチーズ味シーズニング,2,8,0.3,0.1,1.3,158,4,18,13,0.0,2,0.00,0.01,0.1,0,0,0.0,0.4,
シャカチキ レッドペッパー,96,249,15.1,12.9,18.1,794,259,10,266,0.5,9,0.10,0.08,7.6,0,43,1.2,2.0,
シャカチキ レッドペッパー味シーズニング,2,5,0.3,0.0,1.0,155,8,1,2,0.0,5,0.00,0.00,0.0,0,0,0.1,0.4,
シャカチキ(チキンのみ),94,243,14.8,12.8,17.2,639,251,10,264,0.4,4,0.09,0.08,7.6,0,43,1.1,1.6,
スジャータアイスバニラ,109,275,5.0,18.9,21.1,55,191,134,140,0.3,255,0.05,0.24,0.2,0,116,0.2,0.1,
ソフトツイスト,96,148,3.8,3.9,24.7,83,179,121,125,0.0,42,0.05,0.20,0.2,0,12,0.3,0.2,
タンドリーチキンカレーソース,20,26,0.4,0.5,4.9,280,25,4,6,0.1,2,0.01,0.00,0.1,0,0,0.3,0.7,
チキンマックナゲット® 15ピース,300,777,45.9,48.6,39.3,1397,758,24,692,1.4,48,0.27,0.27,22.0,3,177,2.7,3.6,2
チキンマックナゲット® 5ピース,100,259,15.3,16.2,13.1,466,253,8,231,0.5,16,0.09,0.09,7.3,1,59,0.9,1.2,3
ハッシュポテト,51,145,1.2,9.6,13.3,307,194,5,47,0.3,0,0.05,0.01,0.9,1,4,1.5,0.8,
バーベキューソース,20,33,0.2,0.1,7.7,182,45,2,5,0.1,3,0.01,0.00,0.2,1,0,0.3,0.5,
プチパンケーキ,56,161,3.8,4.4,26.4,318,112,60,100,1.4,17,0.10,0.24,0.7,0,11,1.3,0.8,4
ベーコンポテトパイ,76,227,3.7,13.1,23.7,386,102,16,48,0.3,5,0.08,0.02,0.7,1,5,1.1,1.0,
ホットアップルパイ,81,211,1.9,10.7,26.8,217,55,5,23,0.3,1,0.05,0.00,0.3,0,2,1.0,0.6,
ポテナゲ大,370,1035,37.3,58.3,90.5,1346,1635,38,710,2.2,32,0.49,0.21,21.0,22,129,7.8,3.4,5
ポテナゲ特大,640,1811,59.3,100.4,167.8,2226,3017,69,1189,3.9,48,0.88,0.34,34.6,43,200,14.7,5.7,6
マスタードソース,20,44,0.4,2.3,5.2,182,14,5,11,0.1,1,0.01,0.00,0.1,0,2,0.3,0.5,
マックフライポテト®(L),170,517,6.7,25.9,64.3,415,1130,22,249,1.3,0,0.31,0.03,6.3,20,11,6.0,1.1,
マックフライポテト®(M),135,410,5.3,20.6,51.0,329,897,18,198,1.0,0,0.24,0.03,5.0,16,9,4.8,0.8,
マックフライポテト®(S),74,225,2.9,11.3,28.0,181,492,10,108,0.6,0,0.13,0.01,2.7,9,5,2.6,0.5,
マックフルーリー® オレオ® クッキー,141,235,5.9,7.0,37.7,155,280,174,187,0.5,61,0.07,0.29,0.3,0,17,0.7,0.4,
マックフルーリー® 超 オレオ® クッキー,163,337,8.0,10.6,53.4,268,347,181,218,1.5,61,0.09,0.30,0.6,0,17,1.7,0.7,
ヨーグルト,70,59,3.2,0.8,9.7,37,118,89,70,0.0,10,0.03,0.13,0.1,0,4,0.1,0.1,
ワッフルコーン ストロベリー,141,257,5.4,5.5,46.8,135,235,143,154,0.2,47,0.07,0.23,0.4,3,14,1.0,0.3,
ワッフルコーン チョコ&アーモンド,131,295,5.9,10.7,44.1,118,253,144,167,0.4,47,0.07,0.26,0.4,0,14,1.1,0.3,
ワッフルコーン プレーン,121,232,5.3,5.5,40.6,118,215,136,151,0.1,47,0.07,0.23,0.3,0,14,0.7,0.3,
喫茶店のコーヒーゼリーパフェ,193,328,6.9,6.4,61.0,167,369,198,207,0.1,70,0.07,0.33,1.3,0,20,1.7,0.4,
喫茶店のプリンパイ,76,287,3.2,17.2,29.9,223,54,7,27,0.4,8,0.03,0.01,0.2,0,5,0.9,0.6,
焼きとうもろこし風ソース,21,30,0.4,0.2,6.6,353,21,3,7,0.1,0,0.01,0.00,0.1,0,0,0.1,0.9,
低カロリー玉ねぎ,20,7,0.4,0.0,1.2,384,30,3,9,0.1,0,0.01,0.01,0.1,0,0,0.1,1.0,
焙煎ごまドレッシング,21,84,0.5,7.8,3.0,268,19,10,10,0.1,0,0.00,0.01,0.1,0,1,0.2,0.7,
Qoo すっきり白ブドウ(L),540,189,0.4,0.4,45.8,11,21,8,6,0.4,0,0.00,0.00,-,67,-,-,0.0,1
Qoo すっきり白ブドウ(M),425,146,0.3,0.3,35.4,8,16,6,5,0.3,0,0.00,0.00,-,52,-,-,0.0,2
Qoo すっきり白ブドウ(S),275,94,0.2,0.2,22.9,5,11,4,3,0.2,0,0.00,0.00,-,34,-,-,0.0,3
アールグレイ アイスティー(ストレート)(L),495,3,0.0,0.0,0.0,4,26,4,0,0.0,0,0.00,0.00,0.1,0,-,-,0.0,4
アールグレイ アイスティー(ストレート)(M),395,3,0.0,0.0,0.0,3,22,4,0,0.0,0,0.00,0.00,0.1,0,-,-,0.0,5
アールグレイ アイスティー(ストレート)(S),250,2,0.0,0.0,0.0,2,13,2,0,0.0,0,0.00,0.00,0.0,0,-,-,0.0,6
アールグレイ アイスティー(ミルク)(L),500,14,0.2,1.0,0.2,14,26,4,2,0.0,0,0.00,0.00,0.1,0,-,-,0.0,7
アールグレイ アイスティー(ミルク)(M),400,13,0.2,1.0,0.2,13,22,4,2,0.0,0,0.00,0.00,0.1,0,-,-,0.0,8
アールグレイ アイスティー(ミルク)(S),255,12,0.2,1.0,0.2,12,13,2,2,0.0,0,0.00,0.00,0.0,0,-,-,0.0,9
アールグレイ アイスティー(レモン)(L),500,4,0.0,0.0,0.3,4,32,4,1,-,-,0.00,-,0.1,1,-,-,0.0,10
アールグレイ アイスティー(レモン)(M),400,4,0.0,0.0,0.3,3,28,4,1,-,-,0.00,-,0.1,1,-,-,0.0,11
アールグレイ アイスティー(レモン)(S),255,3,0.0,0.0,0.3,2,19,2,1,-,-,0.00,-,0.0,1,-,-,0.0,12
アイスカフェラテ(M),395,104,5.2,5.7,7.8,62,302,167,143,0.0,57,0.06,0.23,1.4,2,-,-,0.2,13
アイスカフェラテ(S),274,73,3.7,4.0,5.5,44,212,118,101,0.0,40,0.04,0.16,1.0,1,-,-,0.1,14
アイスキャラメルラテ(M),418,154,5.2,5.7,20.4,71,307,169,146,0.0,58,0.06,0.23,1.4,2,-,-,0.2,15
アイスキャラメルラテ(S),297,124,3.7,4.0,18.1,53,217,120,103,0.0,41,0.04,0.16,1.0,1,-,-,0.1,16
カフェラテ(M),230,120,6.0,6.6,9.0,72,339,194,166,0.0,67,0.07,0.26,1.4,2,-,-,0.2,
カフェラテ(S),163,86,4.3,4.7,6.4,52,240,139,119,0.0,48,0.05,0.19,1.0,1,-,-,0.1,
ガムシロップ,8,23,0.0,0.0,5.7,0,0,0,0,0.0,0,0.00,0.00,0.0,0,0,0.0,0.0,
キャラメルラテ(M),253,171,6.0,6.6,21.6,82,344,196,169,0.0,67,0.07,0.27,1.4,2,-,-,0.2,
キャラメルラテ(S),186,137,4.3,4.8,19.0,61,245,141,121,0.0,48,0.05,0.19,1.0,1,-,-,0.2,
コーヒーフレッシュ,5,11,0.2,1.0,0.2,10,0,0,2,0.0,0,0.00,0.00,0.0,0,0,0.0,0.0,
コカ・コーラ ゼロ(L),540,0,0.0,0.0,0.0,21,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.1,17
コカ・コーラ ゼロ(M),425,0,0.0,0.0,0.0,16,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,18
コカ・コーラ ゼロ(S),275,0,0.0,0.0,0.0,11,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,19
コカ・コーラ(L),540,181,0.0,0.0,45.4,8,0,8,67,0.0,0,0.00,0.00,-,0,-,-,0.0,20
コカ・コーラ(M),425,140,0.0,0.0,35.1,7,0,7,52,0.0,0,0.00,0.00,-,0,-,-,0.0,21
コカ・コーラ(S),275,90,0.0,0.0,22.7,4,0,4,34,0.0,0,0.00,0.00,-,0,-,-,0.0,22
サントリー黒烏龍茶#濃いめ,250,3,0.0,0.0,1.0,28,68,1,6,-,-,-,-,-,103,-,0.3,0.1,
シュガー,3,12,0.0,0.0,3.0,0,0,0,0,0.0,0,0.00,0.00,0.0,0,0,0.0,0.0,
スプライト(L),540,160,0.0,0.0,39.9,34,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.1,23
スプライト(M),425,124,0.0,0.0,30.9,26,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.1,24
スプライト(S),275,80,0.0,0.0,19.9,17,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,25
ファンタ グレープ(L),540,202,0.0,0.0,50.4,17,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,26
ファンタ グレープ(M),425,156,0.0,0.0,39.0,13,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,27
ファンタ グレープ(S),275,101,0.0,0.0,25.2,8,0,0,0,0.0,0,0.00,0.00,-,0,-,-,0.0,28
ファンタ メロン(L),540,202,0.0,0.0,50.4,8,0,0,8,0.0,0,0.00,2.94,-,0,-,-,0.0,29
ファンタ メロン(M),425,156,0.0,0.0,39.0,7,0,0,7,0.0,0,0.00,2.27,-,0,-,-,0.0,30
ファンタ メロン(S),275,101,0.0,0.0,25.2,4,0,0,4,0.0,0,0.00,1.47,-,0,-,-,0.0,31
プレミアムローストアイスコーヒー(L),495,14,0.8,0.0,2.4,2,249,6,18,0.0,0,0.00,0.00,3.6,0,-,-,0.0,32
プレミアムローストアイスコーヒー(M),435,10,0.6,0.0,1.8,1,187,5,13,0.0,0,0.00,0.00,2.7,0,-,-,0.0,33
プレミアムローストアイスコーヒー(S),255,7,0.4,0.0,1.2,1,125,3,9,0.0,0,0.00,0.00,1.8,0,-,-,0.0,34
プレミアムローストコーヒー(M),300,11,0.8,0.0,1.8,4,216,6,17,0.0,0,0.00,0.03,2.5,0,-,-,0.0,
プレミアムローストコーヒー(S),175,6,0.4,0.0,1.1,2,126,4,10,0.0,0,0.00,0.02,1.4,0,-,-,0.0,
ホットティー(ストレート)(M),300,3,0.3,0.0,0.3,3,24,3,6,0.0,0,0.00,0.03,0.3,0,0,0.0,0.0,
ホットティー(ストレート)(S),175,2,0.2,0.0,0.2,2,14,2,4,0.0,0,0.00,0.02,0.2,0,0,0.0,0.0,
ホットティー(ミルク)(M),305,14,0.5,1.0,0.5,13,24,3,8,0.0,0,0.00,0.03,0.3,0,0,0.0,0.0,35
ホットティー(ミルク)(S),180,12,0.4,1.0,0.3,12,14,2,5,0.0,0,0.00,0.02,0.2,0,0,0.0,0.0,36
ホットティー(レモン)(M),305,4,0.3,0.0,0.6,3,30,3,7,-,-,0.00,-,0.3,1,-,-,0.0,37
ホットティー(レモン)(S),180,3,0.2,0.0,0.5,2,20,2,5,-,-,0.00,-,0.2,1,-,-,0.0,38
マックシェイク® ストロベリー(M),308,356,6.8,4.1,72.5,195,368,239,246,0.0,3,0.11,0.38,0.3,0,8,0.5,0.5,
マックシェイク® ストロベリー(S),190,216,4.2,2.5,43.7,121,230,149,154,0.0,2,0.07,0.24,0.2,0,5,0.3,0.3,
マックシェイク® チョコレート(M),307,363,7.5,4.6,72.6,268,518,245,270,1.6,3,0.11,0.39,0.3,0,8,1.6,0.7,
マックシェイク® チョコレート(S),189,220,4.6,2.8,43.8,161,312,153,167,0.9,2,0.07,0.24,0.2,0,5,0.9,0.4,
マックシェイク® バニラ(M),308,353,6.8,4.1,71.9,191,364,238,246,0.0,3,0.11,0.38,0.3,0,8,0.5,0.5,
マックシェイク® バニラ(S),190,214,4.2,2.5,43.4,119,227,149,153,0.0,2,0.07,0.24,0.2,0,5,0.3,0.3,
マックフィズ® なみ色ヨーグルト味,372,137,0.1,0.0,34.2,31,5,4,5,0.0,0,0.00,0.00,-,0,-,-,0.0,39
マックフロート® なみ色ヨーグルト味,447,244,2.9,3.0,51.4,88,147,102,104,0.0,35,0.04,0.16,-,0,-,-,0.2,40
マックフロート® グレープ,411,205,2.8,3.0,42.0,65,142,98,99,0.0,35,0.04,0.16,-,0,-,-,0.1,41
マックフロート® コーク®,411,195,2.8,3.0,39.5,61,142,102,132,0.0,35,0.04,0.16,-,0,-,-,0.1,42
マックフロート® コーヒー,420,113,3.2,3.0,18.5,57,271,102,108,0.0,35,0.04,0.16,2.0,0,-,-,0.1,43
マックフロート® メロン,411,205,2.8,3.0,42.0,61,142,98,103,0.0,35,0.04,1.61,-,0,-,-,0.1,44
ミニッツメイド アップル100,209,96,0.0,0.0,23.8,0,253,6,23,0.0,0,0.00,0.00,-,0,-,-,0.0,
ミニッツメイド オレンジ(L),540,185,4.2,0.0,43.7,0,865,38,84,0.4,17,0.42,0.00,1.3,172,-,1.3,0.0,45
ミニッツメイド オレンジ(M),425,143,3.3,0.0,33.8,0,670,29,65,0.3,13,0.33,0.00,1.0,133,-,1.0,0.0,46
ミニッツメイド オレンジ(S),275,92,2.1,0.0,21.8,0,433,19,42,0.2,8,0.21,0.00,0.6,86,-,0.6,0.0,47
ミルク,206,137,6.7,7.8,9.7,84,301,227,190,0.0,78,0.08,0.31,0.2,2,25,0.0,0.2,48
リキッドレモン,5,1,0.0,0.0,0.3,0,6,0,1,-,-,0.00,-,0.0,1,-,-,0.0,
爽健美茶(L),510,0,0.0,0.0,0.0,0,12,1,2,0.0,0,0.00,0.00,0.0,0,-,-,0.0,49
爽健美茶(M),415,0,0.0,0.0,0.0,0,10,1,2,0.0,0,0.00,0.00,0.0,0,-,-,0.0,50
爽健美茶(S),250,0,0.0,0.0,0.0,0,6,0,1,0.0,0,0.00,0.00,0.0,0,-,-,0.0,51
野菜生活100(L),556,160,1.3,0.4,37.8,123,666,36,64,0.5,1359,0.09,0.06,1.8,6,-,0.8,0.3,52
野菜生活100(M),437,123,1.0,0.3,29.0,94,511,28,49,0.4,1042,0.07,0.05,1.4,5,-,0.6,0.2,53
野菜生活100(S),283,79,0.6,0.2,18.7,61,330,18,32,0.2,673,0.04,0.03,0.9,3,-,0.4,0.2,54